Overall rank,Country or region,Life Satisfaction Score,GDP per capita(USD),Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption
91,Lebanon,5.2,98700,1.224,0.815,0.216,0.166,0.027
92,Indonesia,5.2,93100,1.203,0.66,0.491,0.498,0.028
93,China,5.2,102900,1.125,0.893,0.521,0.058,0.1
94,Vietnam,5.2,74100,1.346,0.851,0.543,0.147,0.073
95,Bhutan,5.1,81300,1.321,0.604,0.457,0.37,0.167
96,Cameroon,5.0,54900,0.91,0.331,0.381,0.187,0.037
97,Bulgaria,5.0,109200,1.513,0.815,0.311,0.081,0.004
98,Ghana,5.0,61100,0.868,0.486,0.381,0.245,0.04
99,Ivory Coast,4.9,56900,0.808,0.232,0.352,0.154,0.09
100,Nepal,4.9,44600,1.226,0.677,0.439,0.285,0.089
101,Jordan,4.9,83700,1.225,0.815,0.383,0.11,0.13
102,Benin,4.9,39300,0.437,0.397,0.349,0.175,0.082
103,Congo (Brazzaville),4.8,67300,0.799,0.508,0.372,0.105,0.093
104,Gabon,4.8,105700,1.183,0.571,0.295,0.043,0.055
105,Laos,4.8,76400,1.03,0.551,0.547,0.266,0.164
106,South Africa,4.7,96000,1.351,0.469,0.389,0.13,0.055
107,Albania,4.7,94700,0.848,0.874,0.383,0.178,0.027
108,Venezuela,4.7,96000,1.427,0.805,0.154,0.064,0.047
109,Cambodia,4.7,57400,1.122,0.637,0.609,0.232,0.062
110,Palestinian Territories,4.7,65700,1.247,0.672,0.225,0.103,0.066
111,Senegal,4.7,45000,1.134,0.571,0.292,0.153,0.072
112,Somalia,4.7,0,0.698,0.268,0.559,0.243,0.27
113,Namibia,4.6,87900,1.313,0.477,0.401,0.07,0.056
114,Niger,4.6,13800,0.774,0.366,0.318,0.188,0.102
115,Burkina Faso,4.6,33100,1.056,0.38,0.255,0.177,0.113
116,Armenia,4.6,85000,1.055,0.815,0.283,0.095,0.064
117,Iran,4.5,110000,0.842,0.785,0.305,0.27,0.125
118,Guinea,4.5,38000,0.829,0.375,0.332,0.207,0.086
119,Georgia,4.5,88600,0.666,0.752,0.346,0.043,0.164
120,Gambia,4.5,30800,0.939,0.428,0.382,0.269,0.167
121,Kenya,4.5,51200,0.983,0.581,0.431,0.372,0.053
122,Mauritania,4.5,57000,1.167,0.489,0.066,0.106,0.088
123,Mozambique,4.5,20400,0.986,0.39,0.494,0.197,0.138
124,Tunisia,4.5,92100,1,0.815,0.167,0.059,0.055
125,Bangladesh,4.5,56200,0.928,0.723,0.527,0.166,0.143
126,Iraq,4.4,104300,0.98,0.574,0.241,0.148,0.089
127,Congo (Kinshasa),4.4,9400,1.125,0.357,0.269,0.212,0.053
128,Mali,4.4,38500,1.105,0.308,0.327,0.153,0.052
129,Sierra Leone,4.4,26800,0.841,0.242,0.309,0.252,0.045
130,Sri Lanka,4.4,94900,1.265,0.831,0.47,0.244,0.047
131,Myanmar,4.4,71000,1.181,0.555,0.525,0.566,0.172
132,Chad,4.4,35000,0.766,0.192,0.174,0.198,0.078
